"Table 6 
Personal Health Care Expenditures1; Levels, Percent Change, and Percent Distribution, 
2021,6.3   ,10.7   ,9.6   ,10.1   ,9.5   ,10.1   ,5.6   ,-15.0   
2022,4.9   ,6.9   ,7.1   ,7.3   ,5.4   ,10.0   ,3.2   ,-12.9   
2023,9.4   ,7.2   ,10.0   ,11.4   ,8.6   ,8.7   ,12.8   ,7.4   
,Percent Distribution,,,,,,,
1970,100.0%,38.8%,47.1%,22.1%,11.7%,8.1%,5.2%,14.1%
1980,100.0   ,25.8   ,61.0   ,28.1   ,16.9   ,11.5   ,4.5   ,13.2   
1990,100.0   ,21.9   ,65.1   ,32.7   ,17.5   ,11.4   ,3.5   ,13.1   
2000,100.0   ,16.7   ,72.0   ,34.1   ,18.7   ,16.2   ,3.0   ,11.2   
2001,100.0   ,16.0   ,73.2   ,34.5   ,19.0   ,16.6   ,3.1   ,10.8   
2002,100.0   ,16.0   ,73.6   ,34.6   ,18.8   ,16.9   ,3.3   ,10.4   
2003,100.0   ,15.9   ,73.7   ,34.7   ,18.6   ,16.9   ,3.6   ,10.4   
2004,100.0   ,15.7   ,74.2   ,34.5   ,19.0   ,17.1   ,3.6   ,10.1   
2005,100.0   ,15.6   ,74.5   ,34.7   ,19.3   ,17.0   ,3.6   ,9.9   
2006,100.0   ,15.4   ,74.8   ,34.2   ,21.2   ,15.7   ,3.7   ,9.9   
2007,100.0   ,15.3   ,74.8   ,34.2   ,21.3   ,15.7   ,3.7   ,10.0   
2008,100.0   ,14.9   ,75.6   ,33.9   ,22.0   ,15.8   ,3.9   ,9.5   
2009,100.0   ,14.1   ,76.5   ,33.7   ,22.3   ,16.4   ,4.1   ,9.4   
2010,100.0   ,13.8   ,76.6   ,33.3   ,22.4   ,16.8   ,4.1   ,9.6   
2011,100.0   ,13.8   ,76.9   ,33.4   ,22.7   ,16.6   ,4.2   ,9.4   
2012,100.0   ,13.8   ,76.6   ,33.2   ,22.7   ,16.5   ,4.1   ,9.6   
2013,100.0   ,13.8   ,76.5   ,32.4   ,23.0   ,16.9   ,4.2   ,9.7   
2014,100.0   ,13.5   ,77.1   ,32.3   ,22.9   ,17.7   ,4.2   ,9.4   
2015,100.0   ,13.2   ,77.6   ,32.5   ,22.7   ,18.1   ,4.3   ,9.2   
2016,100.0   ,13.1   ,77.6   ,32.8   ,22.5   ,18.0   ,4.3   ,9.3   
2017,100.0   ,12.8   ,77.8   ,32.9   ,22.7   ,17.8   ,4.3   ,9.5   
2018,100.0   ,12.8   ,77.8   ,32.7   ,23.2   ,17.6   ,4.3   ,9.4   
2019,100.0   ,12.7   ,77.7   ,32.3   ,23.6   ,17.5   ,4.4   ,9.6   
2020,100.0   ,11.8   ,74.2   ,29.6   ,22.7   ,17.5   ,4.4   ,14.0   
2021,100.0   ,12.3   ,76.5   ,30.7   ,23.3   ,18.1   ,4.4   ,11.2   
2022,100.0   ,12.6   ,78.2   ,31.4   ,23.4   ,19.0   ,4.3   ,9.3   
2023,100.0   ,12.3   ,78.6   ,32.0   ,23.3   ,18.8   ,4.5   ,9.1   
"1 Personal health care expenditures are comprised of all of the spending for medical goods and services that are rendered to treat, or prevent, a specific disease or condition for a specific person, and include expenditures for hospital care, professional services, other health, residential, and personal care, home health care, nursing care facilities and continuing care retirement communities, prescription drugs, durable medical equipment, and other non-durable medical equipment.  Total expenditures are equal to the sum of out of pocket, health insurance, and other third party payers.",,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid, Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,
"3 Other health insurance programs include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,
"4 Other third party payers include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,
"SOURCE: Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,
