"Table 11 
Other Professional Services Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2023",,,,,,,,
2010,100.0   ,25.3   ,61.1   ,33.7   ,20.1   ,7.1   ,0.2   ,13.6   
2011,100.0   ,25.2   ,61.4   ,33.8   ,20.8   ,6.6   ,0.3   ,13.4   
2012,100.0   ,25.0   ,61.6   ,33.8   ,21.3   ,6.3   ,0.3   ,13.4   
2013,100.0   ,24.7   ,62.2   ,33.0   ,22.4   ,6.5   ,0.3   ,13.1   
2014,100.0   ,24.8   ,62.4   ,32.2   ,22.7   ,7.2   ,0.3   ,12.8   
2015,100.0   ,24.6   ,63.0   ,31.7   ,23.1   ,7.8   ,0.3   ,12.4   
2016,100.0   ,24.5   ,63.3   ,32.0   ,23.1   ,7.9   ,0.4   ,12.2   
2017,100.0   ,24.6   ,63.5   ,31.6   ,24.0   ,7.5   ,0.4   ,11.9   
2018,100.0   ,24.7   ,63.6   ,31.4   ,24.5   ,7.3   ,0.4   ,11.7   
2019,100.0   ,24.3   ,64.4   ,30.8   ,25.9   ,7.3   ,0.4   ,11.3   
2020,100.0   ,22.4   ,60.3   ,28.5   ,24.4   ,7.0   ,0.4   ,17.3   
2021,100.0   ,23.3   ,63.7   ,29.5   ,26.7   ,7.1   ,0.4   ,13.0   
2022,100.0   ,23.8   ,66.2   ,30.3   ,27.9   ,7.6   ,0.4   ,10.0   
2023,100.0   ,23.7   ,66.8   ,30.1   ,28.9   ,7.5   ,0.4   ,9.5   
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,
