"Table 5-5
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,1.8,1.8,2.0,2.1,2.3,2.4,2.3,2.4,2.3,2.4,2.4,2.5,2.5,2.7,2.7,2.9,3.1,3.3,3.3,3.4,3.6,3.8,3.9,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.3,4.5,4.6,4.9,5.0,5.1,5.4
     Federal General Revenue and  Medicare Net Trust Fund Expenditures 4,17.4,16.5,21.5,27.7,29.5,39.5,47.8,51.6,57.7,66.8,70.1,58.1,50.7,49.4,68.0,81.6,92.6,107.2,120.2,157.4,170.2,194.8,231.3,246.6,256.5,264.5,270.0,279.1,293.3,303.3,307.4,328.2,362.1,375.8,399.8,404.1,456.7
     Federal Portion of Medicare Buy-in Premiums,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.7,1.9,2.1,2.2,2.2,2.4,2.5,2.7,3.0,3.5,4.0,4.9,5.7,6.1,6.7,7.7,9.3,8.9,7.8,8.3,8.4,8.5,9.9,11.0,11.4,11.8,14.1,14.9,17.4,16.7
State and Local Government,3.4,3.8,4.1,4.7,5.1,5.4,5.8,6.5,7.0,7.4,7.8,8.3,8.8,9.4,10.1,10.8,11.2,12.1,13.3,19.8,22.2,23.0,22.9,19.9,24.4,26.0,26.9,27.2,28.1,30.6,33.1,34.1,35.5,34.6,36.0,39.8,44.0
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,3.1,3.5,3.7,4.2,4.5,4.7,4.9,5.3,5.6,5.9,6.2,6.7,7.1,7.6,8.1,8.6,9.0,9.3,9.8,10.3,10.9,11.6,11.8,11.9,11.9,12.1,12.4,12.8,13.3,13.7,14.2,14.8,15.4,15.8,16.4,17.3,18.5
     State Phase Down Payments (Part D),—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,5.5,6.9,7.1,7.6,4.0,7.1,8.4,8.8,8.7,8.9,10.0,11.4,11.7,12.3,11.6,12.1,13.7,15.8
     State Portion of Medicare Buy-in Premiums,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.6,1.8,1.8,2.0,2.2,2.2,2.7,3.5,4.0,4.4,4.3,3.5,4.0,5.3,5.4,5.7,5.8,5.9,6.8,7.5,7.7,7.9,7.2,7.5,8.8,9.6
 ,Annual Percent Change ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare,,7.1%,13.7%,8.9%,9.5%,12.8%,10.3%,11.8%,10.0%,7.8%,5.8%,-0.5%,1.8%,5.5%,10.2%,7.1%,6.5%,10.1%,9.2%,18.8%,7.2%,7.9%,6.8%,4.2%,4.8%,4.4%,3.6%,4.8%,4.9%,4.3%,4.3%,6.6%,7.0%,3.7%,7.3%,6.4%,8.1%
Private Business,,6.6   ,7.2   ,4.4   ,11.4   ,5.5   ,4.3   ,12.5   ,6.6   ,5.9   ,8.3   ,8.6   ,7.0   ,8.2   ,1.7   ,-0.5   ,2.3   ,6.3   ,5.8   ,6.5   ,5.4   ,1.3   ,-6.1   ,2.0   ,4.8   ,5.6   ,3.2   ,5.6   ,5.2   ,2.8   ,4.9   ,5.1   ,4.7   ,1.6   ,11.6   ,7.6   ,4.9   
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes1,,6.6   ,7.2   ,4.4   ,11.4   ,5.5   ,4.3   ,12.5   ,6.6   ,5.9   ,8.3   ,8.6   ,7.0   ,8.2   ,1.7   ,-0.5   ,2.3   ,6.3   ,5.8   ,6.5   ,5.4   ,1.3   ,-6.1   ,2.0   ,4.8   ,5.6   ,3.2   ,5.6   ,5.2   ,2.8   ,4.9   ,5.1   ,4.7   ,1.6   ,11.6   ,7.6   ,4.9   
Households  ,,12.9   ,11.8   ,1.9   ,9.3   ,6.0   ,6.8   ,14.7   ,11.0   ,3.0   ,5.4   ,8.0   ,7.9   ,8.2   ,2.2   ,3.1   ,3.7   ,7.5   ,8.2   ,11.7   ,6.5   ,4.7   ,-0.6   ,3.4   ,4.5   ,6.3   ,6.1   ,7.3   ,5.0   ,5.3   ,7.3   ,7.7   ,4.5   ,4.7   ,7.2   ,11.8   ,4.0   
     Employee and Self-Employment Payroll Taxes and Voluntary Premiums Paid to Medicare Hospital Insurance Trust Fund 2,,6.8   ,7.0   ,5.7   ,11.6   ,5.6   ,4.2   ,15.6   ,10.4   ,5.9   ,6.3   ,9.8   ,8.5   ,10.0   ,0.5   ,1.7   ,2.3   ,6.0   ,5.6   ,7.4   ,5.2   ,2.9   ,-3.6   ,3.3   ,4.7   ,7.2   ,4.0   ,7.6   ,5.9   ,4.1   ,5.1   ,4.3   ,3.8   ,4.0   ,8.5   ,10.0   ,5.8   
"     Premiums Paid by Individuals to Medicare Supplementary Medical Insurance
         Trust Fund 3",,42.0   ,28.8   ,-9.6   ,1.4   ,7.8   ,16.5   ,11.8   ,12.8   ,-7.1   ,1.7   ,0.3   ,5.0   ,0.0   ,10.8   ,9.8   ,9.3   ,13.6   ,17.9   ,26.0   ,10.1   ,9.6   ,7.1   ,3.6   ,4.0   ,4.1   ,11.1   ,6.6   ,3.1   ,8.2   ,12.1   ,14.7   ,5.9   ,6.1   ,4.9   ,15.2   ,0.9   
Federal Government            ,,-3.7   ,27.8   ,26.6   ,7.8   ,31.2   ,19.7   ,8.1   ,11.5   ,14.9   ,4.8   ,-15.9   ,-11.4   ,-2.0   ,34.7   ,19.3   ,13.2   ,15.5   ,12.2   ,29.6   ,8.0   ,14.1   ,18.4   ,7.0   ,3.7   ,2.6   ,2.1   ,3.3   ,4.9   ,3.7   ,1.7   ,6.6   ,10.0   ,4.3   ,6.3   ,1.6   ,12.2   
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,,5.0   ,6.0   ,5.4   ,12.3   ,3.4   ,-2.8   ,1.3   ,-0.1   ,1.6   ,1.7   ,1.1   ,3.1   ,5.0   ,2.8   ,6.8   ,6.0   ,5.9   ,2.3   ,2.9   ,3.0   ,5.8   ,3.9   ,5.4   ,0.6   ,-0.2   ,-1.4   ,0.8   ,2.7   ,0.1   ,2.7   ,3.9   ,2.0   ,6.0   ,2.7   ,2.6   ,6.0   
     Federal General Revenue and  Medicare Net Trust Fund Expenditures 4,,-5.1   ,29.9   ,28.8   ,6.7   ,33.9   ,21.0   ,8.0   ,11.9   ,15.7   ,4.9   ,-17.1   ,-12.8   ,-2.5   ,37.6   ,20.1   ,13.5   ,15.8   ,12.1   ,30.9   ,8.1   ,14.5   ,18.8   ,6.6   ,4.0   ,3.1   ,2.1   ,3.4   ,5.1   ,3.4   ,1.4   ,6.8   ,10.3   ,3.8   ,6.4   ,1.1   ,13.0   
     Federal Portion of Medicare Buy-in Premiums,,26.3   ,40.8   ,14.8   ,43.1   ,16.4   ,23.9   ,24.3   ,16.2   ,5.9   ,6.7   ,2.4   ,7.2   ,2.0   ,10.5   ,11.4   ,14.3   ,17.2   ,21.8   ,15.2   ,8.2   ,9.6   ,14.7   ,19.9   ,-3.5   ,-12.3   ,5.9   ,1.1   ,1.9   ,16.4   ,10.3   ,3.5   ,3.8   ,19.6   ,5.8   ,16.5   ,-3.9   
State and Local Government,,11.9   ,8.8   ,14.2   ,9.4   ,6.4   ,7.7   ,11.3   ,7.6   ,5.9   ,5.9   ,6.0   ,6.2   ,6.3   ,7.7   ,6.7   ,3.9   ,7.7   ,10.1   ,49.1   ,12.1   ,3.5   ,-0.4   ,-12.9   ,22.2   ,6.7   ,3.5   ,1.2   ,3.1   ,8.9   ,8.2   ,3.2   ,4.1   ,-2.7   ,4.0   ,10.6   ,10.6   
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,,10.9   ,6.2   ,14.1   ,5.8   ,5.4   ,4.7   ,8.6   ,5.4   ,5.6   ,5.2   ,6.9   ,6.0   ,7.5   ,7.0   ,5.6   ,4.3   ,4.2   ,4.4   ,5.6   ,6.2   ,5.6   ,2.1   ,0.5   ,0.5   ,1.5   ,2.4   ,3.2   ,3.9   ,3.1   ,3.5   ,4.2   ,4.0   ,2.7   ,3.8   ,6.0   ,6.8   
     State Phase Down Payments (Part D),,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,26.2   ,2.9   ,6.6   ,-46.7   ,76.2   ,18.5   ,4.1   ,-1.2   ,2.7   ,12.8   ,13.6   ,2.5   ,5.1   ,-5.9   ,4.3   ,13.4   ,15.7   
     State Portion of Medicare Buy-in Premiums,,26.1   ,41.3   ,14.9   ,42.2   ,13.8   ,26.4   ,25.6   ,17.2   ,7.1   ,8.8   ,2.6   ,6.8   ,1.5   ,10.7   ,11.0   ,2.3   ,21.8   ,29.7   ,14.1   ,8.3   ,-1.1   ,-18.7   ,14.7   ,31.7   ,2.5   ,5.1   ,0.8   ,1.9   ,16.2   ,9.7   ,2.5   ,2.9   ,-8.1   ,4.1   ,15.9   ,10.2   
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Private Business,29.5   ,29.4   ,27.7   ,26.6   ,27.0   ,25.3   ,23.9   ,24.1   ,23.4   ,23.0   ,23.5   ,25.6   ,26.9   ,27.6   ,25.5   ,23.7   ,22.7   ,22.0   ,21.3   ,19.1   ,18.8   ,17.6   ,15.5   ,15.2   ,15.2   ,15.3   ,15.3   ,15.4   ,15.4   ,15.2   ,15.3   ,15.1   ,14.8   ,14.4   ,15.0   ,15.2   ,14.7   
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes1,29.5   ,29.4   ,27.7   ,26.6   ,27.0   ,25.3   ,23.9   ,24.1   ,23.4   ,23.0   ,23.5   ,25.6   ,26.9   ,27.6   ,25.5   ,23.7   ,22.7   ,22.0   ,21.3   ,19.1   ,18.8   ,17.6   ,15.5   ,15.2   ,15.2   ,15.3   ,15.3   ,15.4   ,15.4   ,15.2   ,15.3   ,15.1   ,14.8   ,14.4   ,15.0   ,15.2   ,14.7   
Households  ,43.0   ,45.3   ,44.5   ,41.6   ,41.6   ,39.1   ,37.9   ,38.9   ,39.2   ,37.5   ,37.3   ,40.4   ,42.8   ,44.0   ,40.8   ,39.2   ,38.2   ,37.3   ,37.0   ,34.8   ,34.5   ,33.5   ,31.2   ,31.0   ,30.9   ,31.4   ,32.2   ,32.9   ,33.0   ,33.3   ,34.2   ,34.6   ,33.8   ,34.1   ,34.1   ,35.8   ,34.5   
     Employee and Self-Employment Payroll Taxes and Voluntary Premiums Paid to Medicare Hospital Insurance Trust Fund 2,35.5   ,35.4   ,33.3   ,32.4   ,33.0   ,30.9   ,29.2   ,30.2   ,30.3   ,29.8   ,29.9   ,33.0   ,35.2   ,36.7   ,33.5   ,31.8   ,30.5   ,29.4   ,28.4   ,25.7   ,25.2   ,24.0   ,21.7   ,21.5   ,21.5   ,22.1   ,22.2   ,22.8   ,23.0   ,22.9   ,23.1   ,22.6   ,21.9   ,22.0   ,22.2   ,23.0   ,22.5   
"     Premiums Paid by Individuals to Medicare Supplementary Medical Insurance
         Trust Fund 3",7.4   ,9.9   ,11.2   ,9.3   ,8.6   ,8.2   ,8.7   ,8.7   ,8.9   ,7.7   ,7.4   ,7.4   ,7.7   ,7.3   ,7.3   ,7.5   ,7.7   ,7.9   ,8.6   ,9.1   ,9.3   ,9.5   ,9.5   ,9.4   ,9.4   ,9.3   ,10.0   ,10.2   ,10.0   ,10.4   ,11.1   ,12.0   ,11.9   ,12.1   ,11.9   ,12.9   ,12.0   
Federal Government            ,23.5   ,21.1   ,23.7   ,27.6   ,27.1   ,31.6   ,34.3   ,33.2   ,33.6   ,35.9   ,35.5   ,30.0   ,26.1   ,24.2   ,29.6   ,33.0   ,35.1   ,36.8   ,37.8   ,41.3   ,41.6   ,44.0   ,48.7   ,50.0   ,49.5   ,48.7   ,48.0   ,47.2   ,47.2   ,47.0   ,45.8   ,45.8   ,47.0   ,47.3   ,46.9   ,44.8   ,46.5   
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,2.1   ,2.1   ,1.9   ,1.9   ,1.9   ,1.8   ,1.5   ,1.4   ,1.3   ,1.2   ,1.2   ,1.2   ,1.2   ,1.2   ,1.1   ,1.1   ,1.1   ,1.1   ,1.0   ,0.9   ,0.8   ,0.8   ,0.8   ,0.8   ,0.8   ,0.7   ,0.7   ,0.7   ,0.7   ,0.6   ,0.6   ,0.6   ,0.6   ,0.6   ,0.6   ,0.5   ,0.5   
     Federal General Revenue and  Medicare Net Trust Fund Expenditures 4,21.0   ,18.6   ,21.2   ,25.1   ,24.5   ,29.0   ,31.9   ,30.8   ,31.3   ,33.6   ,33.3   ,27.7   ,23.8   ,22.0   ,27.4   ,30.8   ,32.8   ,34.5   ,35.4   ,39.0   ,39.3   ,41.7   ,46.4   ,47.5   ,47.1   ,46.5   ,45.9   ,45.2   ,45.3   ,44.9   ,43.6   ,43.7   ,45.0   ,45.0   ,44.6   ,42.4   ,44.3   
     Federal Portion of Medicare Buy-in Premiums,0.4   ,0.5   ,0.6   ,0.6   ,0.8   ,0.8   ,0.9   ,1.0   ,1.1   ,1.0   ,1.0   ,1.1   ,1.1   ,1.1   ,1.1   ,1.1   ,1.2   ,1.3   ,1.5   ,1.4   ,1.4   ,1.4   ,1.5   ,1.8   ,1.6   ,1.4   ,1.4   ,1.4   ,1.3   ,1.5   ,1.6   ,1.5   ,1.5   ,1.7   ,1.7   ,1.8   ,1.6   
State and Local Government,4.0   ,4.2   ,4.0   ,4.2   ,4.2   ,4.0   ,3.9   ,3.9   ,3.8   ,3.7   ,3.7   ,4.0   ,4.1   ,4.2   ,4.1   ,4.1   ,4.0   ,3.9   ,3.9   ,4.9   ,5.1   ,4.9   ,4.6   ,3.8   ,4.5   ,4.6   ,4.6   ,4.4   ,4.3   ,4.5   ,4.7   ,4.5   ,4.4   ,4.1   ,4.0   ,4.2   ,4.3   
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,3.8   ,3.9   ,3.6   ,3.8   ,3.7   ,3.4   ,3.3   ,3.2   ,3.0   ,3.0   ,3.0   ,3.2   ,3.3   ,3.4   ,3.3   ,3.2   ,3.2   ,3.0   ,2.9   ,2.6   ,2.5   ,2.5   ,2.4   ,2.3   ,2.2   ,2.1   ,2.1   ,2.1   ,2.1   ,2.0   ,2.0   ,2.0   ,1.9   ,1.9   ,1.8   ,1.8   ,1.8   
     State Phase Down Payments (Part D),—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,1.4   ,1.6   ,1.5   ,1.5   ,0.8   ,1.3   ,1.5   ,1.5   ,1.4   ,1.4   ,1.5   ,1.6   ,1.6   ,1.5   ,1.4   ,1.3   ,1.4   ,1.5   
     State Portion of Medicare Buy-in Premiums,0.3   ,0.3   ,0.4   ,0.4   ,0.5   ,0.5   ,0.6   ,0.7   ,0.7   ,0.7   ,0.8   ,0.8   ,0.8   ,0.8   ,0.8   ,0.8   ,0.8   ,0.9   ,1.0   ,1.0   ,1.0   ,0.9   ,0.7   ,0.8   ,1.0   ,1.0   ,1.0   ,0.9   ,0.9   ,1.0   ,1.1   ,1.0   ,1.0   ,0.9   ,0.8   ,0.9   ,0.9   
1Includes one-half of self-employment contributions to the Medicare Hospital Insurance (HI) Trust Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Includes one-half of self-employment contributions to the Medicare HI Trust Fund and Trust Fund revenues from the income taxation of Social Security benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Excludes Medicaid buy-ins for the Medicare premiums of people eligible for both Medicaid and Medicare (dual eligibles).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4Excludes Medicare Hl Trust Fund payroll taxes and premiums, Medicare Supplementary Medical Insurance premiums, Part D state phase-down payments to Medicare beginning in 2006, Medicare premium buy-in programs by Medicaid for people eligible for both Medicaid and Medicare (dual eligibles), and Trust Fund revenues from the income taxation of Social Security benefits. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
