"Table 24 
     Private Employees,18.2,18.9,19,19.2,19.9,19.6,19.7,19.8,20.8,20.4,21.4,21.3,20.2,19.9,20.2,20.8,20.9,21.1,20.9,21.5,21.8,23.2,22.8,22.1,21.1,21.3,21.2,20,20.1,20.1,20.4,20,20.8,21.5,20.7,21,20.6
     Federal Employees,1.8,1.8,1.8,1.2,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.5
     State and Local Employees,3.1,3.3,3.3,3.4,3.5,3.4,3.4,3.4,3.6,3.5,3.7,3.6,3.5,3.4,3.5,3.6,3.5,3.5,3.7,3.7,3.7,3.8,3.9,4.3,4.5,4.6,4.7,4.6,5,4.8,5,4.9,4.6,4.8,4.6,4.8,4.7
,Employer Share of Employer-Sponsored Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Share of Employer- Sponsored Private Health Insurance,76.9%,76%,75.9%,76.2%,75.2%,75.6%,75.5%,75.4%,74.3%,74.9%,73.6%,73.6%,75%,75.4%,75%,74.3%,74.3%,74.1%,74.1%,73.5%,73.2%,71.6%,71.9%,72.1%,72.8%,72.5%,72.6%,73.7%,73.3%,73.5%,73%,73.5%,73%,72%,73.1%,72.7%,73.2%
     Private3,77.2,76.1,75.9,75.6,74.5,74.9,74.6,74.5,73.5,74.2,72.7,73,74.3,74.7,74.2,73.1,73,72.5,72.6,71.5,71.1,69.3,69.6,69.7,70.8,70.6,70.6,72,71.6,71.7,71.6,72.2,71.5,70.5,71.7,71.4,72.1
     Federal3,66.9,69,70.9,79.1,74.7,75.1,75.2,75.2,74.5,73.7,73.5,68.9,72.9,73,72.7,72.8,72.9,73.1,73.4,72.6,72.5,72,71.5,70.8,70.6,70.9,71,71,70.8,70.7,70.4,70.1,70.2,70.1,69.9,69.7,69.5
     State and Local3,79.1,78.4,77.9,78.2,78.5,79.1,79.5,79.8,77.9,78.6,77.9,77.8,78.7,79.2,79.4,79.7,80.5,81,80.3,81.2,81.2,80.6,80.8,80.3,79.9,78.9,79.3,79.9,78.8,79.6,78,78.4,78.6,77.6,78.8,77.6,77.6
"1 Includes Medicare Retiree Drug Subsidy (RDS) payments to private employer plans beginning in 2006, small business tax credits beginning in 2010, and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  In Tables 5-1 (Private Business Sponsor Expenditures) and 5-6 (Private Health Insurance by Sponsor), spending for these programs are excluded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Includes Medicare Retiree Drug Subsidy (RDS) payments to state and local government employer plans beginning in 2006 and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011, whereas in Tables 5-4 (State and Local Government Sponsor Expenditures) and 5-6 (Private Health Insurance by Sponsor), spending for these programs are excluded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Excludes payments for the Basic Health Program beginning in 2015, whereas in Tables 5-4 and 5-6, spending for this program is included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The employer shares of employer-sponsored private health insurance are calculated as employer contributions divided by total premiums (employer plus employee).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
