"Table 20
Private Health Insurance Benefits and Net Cost; Levels, Annual Percent Change and Percent Distribution, Selected Calendar Years 1960-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Durable Medical Equipment,0,0.1,0.6,1.5,3.7,3.6,4.9,4.7,5.1,6,7,7.6,7.1,7.3,6.9,7.5,8.2,8.2,8.4,9,9.4,9.6,10.6,11.1,10.8,14.5,15.3,15.9
   Net Cost of Private Health Insurance,0.8,1.3,6.8,25.8,46.2,50.4,64.8,77.5,80.5,84,87.2,92.4,90.1,85.6,94.8,98.5,99.4,99.5,107.5,106.6,111.9,122.1,138.8,127.4,149.6,130.7,134,150.8
Private Health Insurance,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health Consumption Expenditures, ,10.3%,16.1%,12.9%,6.9%,9.6%,11.2%,9.6%,6.3%,7.2%,5.2%,6.1%,2.8%,3.3%,3.2%,3.8%,3.2%,0.1%,4.9%,5.8%,5.3%,4.8%,4.3%,2.5%,-0.4%,7.2%,6.8%,11.5%
Private Health Insurance Benefits,,, , , , , , , , , , , , , , , , , , , , , , , , , , 
   Personal Health Care, ,11,15.9,12.7,7,9.7,9.2,8.3,6.6,7.6,5.3,6.1,3.6,4.4,2.3,3.7,3.5,0.1,4.5,6.7,5.4,4.3,3.1,4.1,-2.6,10.1,7.3,11.4
        Hospital , ,10.7,15.3,10.1,3.9,8.7,10.3,9,8.4,8.2,9.2,6.7,4.2,6.4,3.8,3.9,5.8,1,2.8,7.9,6.2,4.5,4.3,6.1,-5.8,13.2,8,13
        Physician and Clinical Services, ,10.2,14.7,14.9,7.2,9.4,9.3,8.7,3.2,7.4,4.8,5.4,3.6,1.7,1.1,4.5,3.1,-0.5,3.4,6.4,7.5,5,1,1.1,0.7,6.3,8.5,9.4
        Dental Services, ,18.7,33.3,14.6,7.3,10,6.7,2.4,8.7,5.9,1.1,6.4,2,1.9,3.9,2,1.5,2,3.9,0.7,5.1,4.2,4.4,2.8,-9.7,17.4,1.6,3.2
        Other Professional Services, ,17.6,34.8,22.8,7.7,9.2,9.1,10,8.1,3.1,4.9,10,6.3,0.7,3.8,4.5,5.1,-0.5,3,4.6,6.3,4,7.2,4.3,-1.8,18.2,8.9,11.1
"        Other Health, Residential, and Personal Care ", ,11.7,14.2,11.8,8.4,4.4,11.6,10.6,17.8,6.6,7.3,7.8,4.1,8,10.1,12.5,0.2,-1.3,6.7,10.2,3.9,2.2,1.5,6.4,1.6,8.8,6.4,11.9
        Home Health Care, ,16.8,48.5,23.4,10.4,-12.1,-3.4,2.1,-2.2,2.1,-16.6,-4.3,-2.4,-4.1,1.7,18.6,17.3,19.8,15.4,6.1,11.9,14.1,8.7,9.2,0.7,-0.9,14.8,19.8
        Nursing Care Facilities and Continuing Care Retirement Communities, ,—,35.6,30.6,10.3,3.6,5.5,-8.7,-9,5.9,12.5,10,6.9,6.1,8.9,2.5,5.9,-0.3,5.2,10.6,2.4,3.5,9.5,7.7,-0.4,-1.7,11.5,13.1
        Prescription Drugs, ,30,14.1,19.7,19.2,17,7.7,10.9,9.6,8.3,0.1,5.4,2.6,6.9,-0.7,0.9,-2.2,-2.4,11.6,6.4,-1.1,1.9,1.2,3.7,2,5.7,3.5,13.8
        Other Non-durable Medical Products, ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
        Durable Medical Equipment, ,12.9,15.6,10.4,9.5,-3,33.6,-2.8,8,17.4,17.7,7.5,-5.6,1.7,-5.5,9.8,8.4,0.7,2.3,7.1,4.5,1.8,10.2,4.8,-2.6,34.7,5.4,4
   Net Cost of Private Health Insurance, ,5.3,18.2,14.2,6,9.1,28.5,19.5,3.9,4.3,3.8,5.9,-2.4,-5.1,10.8,3.9,1,0.1,8,-0.8,5,9.1,13.7,-8.2,17.4,-12.6,2.5,12.5
Private Health Insurance,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health Consumption Expenditures,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Private Health Insurance Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Personal Health Care,86.5,91.5,89.8,88.6,89.5,89.6,87.9,86.9,87.1,87.5,87.6,87.7,88.3,89.2,88.4,88.4,88.7,88.7,88.4,89.1,89.1,88.7,87.7,88.9,87,89.4,89.8,89.7
        Hospital ,55.7,57.4,53.8,41.9,31.3,31.1,30.9,30.7,31.3,31.6,32.8,33,33.5,34.5,34.7,34.7,35.6,35.9,35.2,35.9,36.1,36,36,37.3,35.3,37.3,37.7,38.2
        Physician and Clinical Services,27.8,27.5,24.3,29.1,29.9,29.8,29.3,29.1,28.3,28.3,28.2,28,28.3,27.8,27.3,27.5,27.5,27.3,26.9,27,27.6,27.6,26.7,26.4,26.7,26.4,26.9,26.4
        Dental Services,0.7,1.4,5.6,6.5,6.8,6.8,6.5,6.1,6.2,6.2,5.9,5.9,5.9,5.8,5.8,5.7,5.6,5.8,5.7,5.4,5.4,5.4,5.4,5.4,4.9,5.4,5.1,4.7
        Other Professional Services,0.1,0.3,1.1,2.6,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.9,2.8,2.9,3,2.9,3.2,3.3,3.3
"        Other Health, Residential, and Personal Care ",0.9,1,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1.1,1.2,1.1,1.1,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2
        Home Health Care,0,0,0.5,1.3,1.7,1.4,1.2,1.1,1,1,0.8,0.7,0.7,0.6,0.6,0.7,0.8,1,1.1,1.1,1.1,1.2,1.3,1.4,1.4,1.3,1.4,1.5
        Nursing Care Facilities and Continuing Care Retirement Communities,0,0.1,0.3,1.2,1.6,1.5,1.5,1.2,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.4,1.4
        Prescription Drugs,0.6,3,2.5,4.6,13.6,14.5,14,14.2,14.7,14.8,14.1,14,14,14.5,13.9,13.6,12.8,12.5,13.3,13.4,12.6,12.2,11.8,12,12.3,12.1,11.7,12
        Other Non-durable Medical Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Durable Medical Equipment,0.7,0.9,0.8,0.7,0.8,0.8,0.9,0.8,0.8,0.9,1,1,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,1.2,1.2,1.1
   Net Cost of Private Health Insurance,13.5,8.5,10.2,11.4,10.5,10.4,12.1,13.1,12.9,12.5,12.4,12.3,11.7,10.8,11.6,11.6,11.3,11.3,11.6,10.9,10.9,11.3,12.3,11.1,13,10.6,10.2,10.3
"NOTE:  The figure 0 denotes dollar amounts less than $50 million, or percent less than 0.1.   Dashes ( ""— "") indicate not applicable.  Numbers and percents may not add to totals due to rounding.  Dollar amounts are shown in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
