Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,4621104.64,1061307,17139,3336,4.354163913,269.62510298,1385.2232134,0,3097563.43,836918,13106,2299,3.7011552267,236.34697314,1347.3525141,0,2415760.81,715751,10958,1757,3.375141369,220.45636156,1374.9350085,0,2114714.13,636792,9667,1549,3.3208867731,218.75598738,1365.212479,0,1935437.79,491183,7565,1155,3.9403598862,255.84108262,1675.7037143,0,0.1865384626,-0.024656085
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,Overall,15957795.55,1429260,45575,8681,11.162908956,350.1436215,1838.2439293,1,16480869.86,1448269,42663,6423,11.36625234,386.30358531,2565.9146598,0,11265372.88,996520,27766,4752,11.281323133,405.72545127,2370.6592761,0,9294117.32,1104102,29168,4032,8.4220379403,318.64088453,2305.088621,1,11966266.63,990318,25001,3427,12.03507537,478.63151994,3491.7614911,0,0.4289979997,0.018985157
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,4837959.11,434734,14396,2559,11.128550125,336.0627334,1890.5662798,1,3869971.45,333466,10504,1850,11.605295442,368.42835586,2091.8764595,0,4155363.86,369520,10831,1929,11.245301635,383.65468193,2154.1544116,1,2333229.56,255790,7346,1216,9.1216605809,317.61905255,1918.7743092,1,2092414.42,167358,4901,924,12.502625629,426.93622118,2264.5177706,0,0.3706523629,0.0295339208
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",6073233.32,552209,17484,3232,10.998070151,347.35948982,1879.0944678,1,5147233.64,502897,14962,2625,10.235164736,344.02042775,1960.8509105,0,2201494.1,203610,5979,1511,10.812308335,368.20439873,1456.9782263,1,3574313.32,451517,12337,2013,7.9162319913,289.72305423,1775.6151615,1,5578396.02,499620,12927,2138,11.165277651,431.53059643,2609.1655847,0,0.4104283027,0.0037793579
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Burel Pharmaceu,,,,,,,,,3423734.03,287300,7849,1608,11.916930143,436.2000293,2129.1878296,0,2091576.23,174960,4163,1353,11.954596651,502.42042517,1545.8804361,0,256577.42,29266,823,380,8.7670819381,311.75871203,675.20373684,0,17070.75,1470,39,20,11.612755102,437.71153846,853.5375,0,0.3245861262,-0.008581638
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,5046603.12,442317,13695,2311,11.409471307,368.49968018,2183.7313371,1,4039930.74,324606,9348,1597,12.445644073,432.17059692,2529.6998998,0,2816938.69,248430,6793,1383,11.33896345,414.68256882,2036.8320246,0,3129997.02,367529,8662,1603,8.5163266572,361.34807435,1952.5870368,1,4278385.44,321870,7134,1347,13.292277752,599.71761144,3176.2326949,0,0.5607994253,0.0389232652
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Overall,6955321.12,330735,5298,710,21.029891363,1312.8201435,9796.2269296,0,4849598.99,225020,3648,493,21.551857568,1329.385688,9836.914787,0,2085404.63,96333,1585,290,21.647873833,1315.7127003,7191.0504483,0,146795.2,7002,118,32,20.964752928,1244.0271186,4587.35,0,68772.61,3150,59,15,21.832574603,1165.6374576,4584.8406667,0,0.0413943192,0.0094085544
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Lupin Pharmaceu,6955321.12,330735,5298,710,21.029891363,1312.8201435,9796.2269296,0,4849598.99,225020,3648,493,21.551857568,1329.385688,9836.914787,0,2085404.63,96333,1585,290,21.647873833,1315.7127003,7191.0504483,0,146795.2,7002,118,32,20.964752928,1244.0271186,4587.35,0,68772.61,3150,59,15,21.832574603,1165.6374576,4584.8406667,0,0.0413943192,0.0094085544
Abelcet,Amphotericin B Lipid Complex,1,Overall,766166.41,101857.38,620,205,7.5219528521,1235.7522742,3737.397122,0,618247.3,120570,777,226,5.1277042382,795.68507079,2735.6075221,0,637913.66,124320,826,238,5.1312231338,772.29256659,2680.3094958,0,504545.33,97200,697,199,5.1907955761,723.88139168,2535.4036683,0,297179.43,53540,350,113,5.5506057154,849.08408571,2629.9064602,0,0.0693169542,-0.073164963
Abelcet,Amphotericin B Lipid Complex,1,Leadiant Biosci,766166.41,101857.38,620,205,7.5219528521,1235.7522742,3737.397122,0,618247.3,120570,777,226,5.1277042382,795.68507079,2735.6075221,0,637913.66,124320,826,238,5.1312231338,772.29256659,2680.3094958,0,504545.33,97200,697,199,5.1907955761,723.88139168,2535.4036683,0,297179.43,53540,350,113,5.5506057154,849.08408571,2629.9064602,0,0.0693169542,-0.073164963
Abilify,Aripiprazole,1,Overall,31071646.36,950552.33,25660,4690,32.843309582,1210.8981434,6625.0845117,0,26854630.75,808281.5,20939,3670,33.402208187,1282.517348,7317.338079,0,24481910.61,716447.5,17689,2532,34.436527492,1384.0189163,9669.0010308,0,20484851.18,633899,15261,2174,32.656164441,1342.3007129,9422.6546366,0,13141218.3,575817,13586,1920,23.109644371,967.26176211,6844.3845312,0,-0.292334395,-0.084124193
Abilify,Aripiprazole,1,Otsuka America,31071646.36,950552.33,25660,4690,32.843309582,1210.8981434,6625.0845117,0,26854630.75,808281.5,20939,3670,33.402208187,1282.517348,7317.338079,0,24481910.61,716447.5,17689,2532,34.436527492,1384.0189163,9669.0010308,0,20484851.18,633899,15261,2174,32.656164441,1342.3007129,9422.6546366,0,13141218.3,575817,13586,1920,23.109644371,967.26176211,6844.3845312,0,-0.292334395,-0.084124193
Abilify Maintena,Aripiprazole,1,Overall,345893454.06,165452.467,164759,22935,2090.8041256,2099.3903463,15081.467367,0,422038582.34,189937.35,189140,25421,2222.0696373,2231.3555162,16601.966183,0,460313112.01,204264.771,203218,25646,2253.5948883,2265.1197827,17948.729315,0,499429110.88,210840.18,208784,26393,2368.5084279,2392.0851736,18922.786757,0,563682902.82,220767.4,219843,27676,2553.3425156,2564.0247941,20367.209959,0,0.0780381803,0.0512328703
Abilify Maintena,Aripiprazole,1,Otsuka America,345893454.06,165452.467,164759,22935,2090.8041256,2099.3903463,15081.467367,0,422038582.34,189937.35,189140,25421,2222.0696373,2231.3555162,16601.966183,0,460313112.01,204264.771,203218,25646,2253.5948883,2265.1197827,17948.729315,0,499429110.88,210840.18,208784,26393,2368.5084279,2392.0851736,18922.786757,0,563682902.82,220767.4,219843,27676,2553.3425156,2564.0247941,20367.209959,0,0.0780381803,0.0512328703
Abilify Mycite,Aripiprazole,1,Overall,,,,,,,,,40552.86,720,24,,56.323416667,1689.7025,,1,92372.21,1620,47,15,56.908812057,1965.3661702,6158.1473333,1,56308.8,990,31,,56.778172043,1816.4129032,,1,75603.15,1320,44,,57.275113636,1718.2534091,,1,0.0087523352,0.0056009058
Abilify Mycite,Aripiprazole,1,Otsuka America,,,,,,,,,40552.86,720,24,,56.323416667,1689.7025,,1,92372.21,1620,47,15,56.908812057,1965.3661702,6158.1473333,1,56308.8,990,31,,56.778172043,1816.4129032,,1,75603.15,1320,44,,57.275113636,1718.2534091,,1,0.0087523352,0.0056009058
Abiraterone Acetate,Abiraterone Acetate,18,Overall,26623436.37,435123,3624,3328,61.154204106,7346.4228394,7999.83064,0,512604238.08,11518438.999,98661,17787,44.438030546,5195.6116204,28819.038516,0,499949838,17267971.997,151737,23638,28.961859174,3294.8446193,21150.259667,0,601154528.95,21241242,199285,30513,33.682097272,3016.5568354,19701.587158,0,701850079.96,24176424,230081,35733,34.976978297,3050.4477986,19641.510088,0,0.0384441923,-0.130361031
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,10934145.94,171807,1420,1334,63.642028206,7700.1027746,8196.5111994,0,114778256.63,2218449,19000,6121,51.738064129,6040.9608753,18751.553117,0,71640280.53,1992035,17507,4741,35.963364364,4092.0934786,15110.795303,0,43828187.66,1497395,13837,3612,31.632935659,3167.4631539,12134.04974,0,53537526.58,1295976,13337,3548,51.487840949,4014.2105856,15089.494526,0,0.6276655921,-0.051603009
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,,,,,,,,,,,,,,,,,,,,,,,,,582002.55,26368,236,185,22.072305446,2466.1125,3145.9597297,0,36913029,1225947,11507,3591,33.858290474,3207.8759885,10279.31746,0,0.533971635,0.533971635
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,,,,,,,,,,,,,,,,,626395.12,20008,159,104,31.307233107,3939.5919497,6023.03,0,1840647.11,59117,545,239,31.135665037,3377.3341468,7701.4523431,0,16295701.94,561374,4989,1648,29.028244878,3266.3263059,9888.1686529,0,-0.067685086,-0.037084793
Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669762.06,13840,140,68,60.843020941,4784.0147143,9849.4420588,0,,
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",,,,,,,,,,,,,,,,,945649.24,293706,2534,1003,3.2197137273,373.18438832,942.82077767,0,4898138.39,1457548,12936,2784,3.3605331625,378.64396954,1759.3887895,0,120810344.99,3321888,33500,7306,44.184685226,3606.2789549,16535.771283,0,12.148117602,2.7044799886
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,,,,,,,,,8538883.37,196154,1712,819,43.531528136,4987.6655199,10425.987021,0,15147557.6,500973,4492,1573,30.236275408,3372.118789,9629.7251113,0,9167613.92,373812,3463,1352,24.524664591,2647.3040485,6780.7795266,0,9032292.89,330584,3031,1190,27.322232443,2979.9712603,7590.1620924,0,0.114071605,-0.143808807
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,1127427.3,29604,255,249,38.083613701,4421.2835294,4527.8204819,1,15366088.51,871312,7643,1731,17.635575443,2010.4786746,8877.0008723,0,3903999.61,1489945,13174,2053,2.6202306864,296.34124867,1901.6072138,0,3089709.84,1951977,17105,2635,1.5828618063,180.6319696,1172.5654042,0,3501028.36,2621003,21807,3390,1.3357590052,160.5460797,1032.7517286,0,-0.156111418,-0.567239624
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,,,,,,,,,,,,,,,,,445297.27,17602,149,149,25.298106465,2988.5722819,2988.5722819,0,33110769.99,1386645,12105,2589,23.878332226,2735.2969839,12789.018922,0,40450561.47,1415352,12829,3104,31.059031961,3153.0564713,13031.753051,0,0.3007203211,0.1080259963
Abiraterone Acetate,Abiraterone Acetate,1,Patriot Pharmac,8067619.77,125781,1054,974,64.140210127,7654.2882068,8282.9771766,0,231496652.37,5053365.999,43147,10563,45.81038706,5365.3012346,21915.805393,0,98574761.07,2983608.997,26288,6842,33.03876653,3749.8007102,14407.302115,0,3649785.15,124313,1094,348,29.359641791,3336.1838665,10487.888362,0,252071.28,10440,82,40,24.144758621,3074.04,6301.782,0,-0.177620804,-0.216709025
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,,,,,,,,,20635781.2,564258,4957,2138,36.571535007,4162.957676,9651.9088868,0,182376285.57,6169405,54225,12624,29.561405933,3363.3247685,14446.790682,0,233618611.16,9414775,84087,15670,24.81404082,2778.2964211,14908.65419,0,216361472.7,9218859,82563,16102,23.469441576,2620.5621489,13436.931605,0,-0.054187033,-0.137445546
Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33547.73,20150,165,152,1.6648997519,203.31957576,220.70875,0,,
Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13756.51,7560,67,34,1.8196441799,205.32104478,404.60323529,0,,
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,4650291.61,80017,653,599,58.116295412,7121.4266616,7763.4250584,0,89624661.26,1938999,16412,4018,46.222128665,5460.9225725,22305.789263,0,46509342.26,1227017,10676,2876,38.1716888,4356.4389528,16171.537643,0,105057491.89,1174828,15673,4349,103.38309006,6703.0875959,24156.700825,0,64626491.04,663377,10295,2908,102.83913715,6277.4639184,22223.690179,0,-0.005261527,0.1533606371
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,,,,,,,,,20386448.34,439622,3774,1234,46.37267548,5401.8146105,16520.622642,0,24080851.95,967757,8438,2263,24.883159667,2853.8577803,10641.118847,0,98437342.1,1807128,20654,4355,72.583651807,4766.0183064,22603.293249,0,93297676.03,1882144,21766,5237,65.379357625,4286.395113,17815.09949,0,-0.099255053,0.1213112135
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,,,,,,,,,,,,,,,,,,,,,,,,,8944728.38,326848,2779,839,27.366630299,3218.685995,10661.178045,0,26482869.57,983706,8539,1827,26.921528963,3101.4017531,14495.276174,0,-0.016264382,-0.016264382
Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,,,,,,,,,,,,,,,,,4632.8,556,11,,8.3323741007,421.16363636,,1,19197.61,4259,67,38,4.5075393285,286.53149254,505.20026316,0,48852.49,11121,150,62,4.3928144951,325.68326667,787.9433871,0,-0.025451765,-0.273915691
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,,,,,,,,,,,,,,,,,52080902.12,1508851,13222,3140,34.516928524,3938.9579579,16586.274561,0,54513705.91,1624314,14601,3533,33.561063877,3733.55975,15429.86298,0,19109349.32,579171,5186,2034,32.994313113,3684.7954724,9394.9603343,0,-0.016887151,-0.02230482
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,1843951.75,27914,242,214,66.058313033,7619.6353306,8616.5969626,0,11777466.4,236279,2016,679,49.845591017,5841.9972222,17345.31134,0,3613882.86,96508,862,325,37.446458946,4192.4395128,11119.639569,0,396597.29,11915,103,25,33.28554679,3850.4591262,15863.8916,0,413746,13932,128,35,29.697530864,3232.390625,11821.314286,0,-0.107795012,-0.181161572
Abraxane,Paclitaxel Protein-Bound,1,Overall,5675297.99,4441,828,236,1277.9324454,6854.2246256,24047.872839,0,8803136.55,6318,1190,333,1393.342284,7397.5937395,26435.845495,0,9792937.31,6620,1286,319,1479.2956662,7615.0367885,30698.863041,0,9534884.71,6081,1200,307,1567.9797254,7945.7372583,31058.256384,0,6230057.81,3744,810,220,1664.0111672,7691.4293951,28318.444591,0,0.0612453339,0.0682233946
Abraxane,Paclitaxel Protein-Bound,1,Celgene/BMS,5675297.99,4441,828,236,1277.9324454,6854.2246256,24047.872839,0,8803136.55,6318,1190,333,1393.342284,7397.5937395,26435.845495,0,9792937.31,6620,1286,319,1479.2956662,7615.0367885,30698.863041,0,9534884.71,6081,1200,307,1567.9797254,7945.7372583,31058.256384,0,6230057.81,3744,810,220,1664.0111672,7691.4293951,28318.444591,0,0.0612453339,0.0682233946
Absorica,Isotretinoin,1,Overall,317230.79,8970,180,78,35.323289214,1762.3932778,4067.0614103,0,256597.51,6840,150,47,37.435019327,1710.6500667,5459.5214894,0,235353.71,6180,126,52,37.944869135,1867.8865873,4526.0328846,0,163699.34,4090,88,35,39.690154659,1860.2197727,4677.124,0,93008.56,2250,51,24,41.151284582,1823.6972549,3875.3566667,0,0.0368134097,0.0389163113
Absorica,Isotretinoin,1,Sun Pharmaceuti,317230.79,8970,180,78,35.323289214,1762.3932778,4067.0614103,0,256597.51,6840,150,47,37.435019327,1710.6500667,5459.5214894,0,235353.71,6180,126,52,37.944869135,1867.8865873,4526.0328846,0,163699.34,4090,88,35,39.690154659,1860.2197727,4677.124,0,93008.56,2250,51,24,41.151284582,1823.6972549,3875.3566667,0,0.0368134097,0.0389163113
Absorica Ld,"Isotretinoin, Micronized",1,Overall,,,,,,,,,,,,,,,,,25585.7,690,15,,37.42603165,1705.7133333,,1,81264.22,2130,31,11,38.278067742,2621.4264516,7387.6563636,1,24902.87,630,15,,39.486837037,1660.1913333,,1,0.0315786393,0.0271628023
Absorica Ld,"Isotretinoin, Micronized",1,Sun Pharmaceuti,,,,,,,,,,,,,,,,,25585.7,690,15,,37.42603165,1705.7133333,,1,81264.22,2130,31,11,38.278067742,2621.4264516,7387.6563636,1,24902.87,630,15,,39.486837037,1660.1913333,,1,0.0315786393,0.0271628023
Acamprosate Calcium,Acamprosate Calcium,6,Overall,5272879.18,5536265,34628,10706,0.952239019,152.27212603,492.51626938,0,6133862.01,6113938,37124,11649,1.0034934175,165.22632286,526.55695854,0,6475928.88,6671390,40041,11880,0.9709350444,161.73244624,545.11185859,0,7045996.74,7253219,43349,13110,0.9709590852,162.54115989,537.4520778,0,7435039.55,7604129,45173,13739,0.9766398704,164.59034268,541.16307955,0,0.0058506947,0.0063455238
Acamprosate Calcium,Acamprosate Calcium,1,Glenmark Pharma,3043129.45,3171030,19572,6477,0.9596659287,155.48382638,469.83625907,0,3741077.17,3796463,22641,7645,0.9854112025,165.23462612,489.34953172,0,3920114.18,4086170,23940,7724,0.9593614999,163.74745948,507.52384516,0,4262923.33,4353044,25692,8566,0.9792970919,165.92415265,497.65623745,0,4337637.12,4366269,25208,8612,0.9934424837,172.07383053,503.67360892,0,0.0144444336,0.0086852334
Acamprosate Calcium,Acamprosate Calcium,1,Marlex Pharm.,5338.07,4643,35,24,1.1497027784,152.51628571,222.41958333,0,6121.51,6614,48,27,0.9255382522,127.53145833,226.72259259,0,4808.02,4686,28,23,1.0260392659,171.715,209.04434783,1,9231.61,8475,58,44,1.0892755162,159.16568966,209.80931818,0,2979.37,3694,27,11,0.8065430428,110.34703704,270.85181818,1,-0.259560111,-0.084811631
Acamprosate Calcium,Acamprosate Calcium,1,Mylan,523392.12,573142,3774,1612,0.9131979858,138.6836566,324.68493797,0,150985.65,169386,1106,582,0.8913703022,136.51505425,259.42551546,0,787116.88,906051,5686,2022,0.868733526,138.4306859,389.2763996,0,812965.38,935701,5812,2239,0.8688302994,139.87704405,363.09306833,0,685171.27,789777,5031,1824,0.8675502958,136.18987676,375.64214364,0,-0.001473249,-0.012737982
Acamprosate Calcium,Acamprosate Calcium,1,AHP,3358.03,2860,27,17,1.1741363636,124.37148148,197.53117647,1,2461.5,2537,28,14,0.9702404415,87.910714286,175.82142857,1,3366.34,3121,30,22,1.0786094201,112.21133333,153.01545455,0,6457.22,6032,53,33,1.0704940318,121.83433962,195.67333333,0,3790.62,3960,28,20,0.9572272727,135.37928571,189.531,1,-0.105807931,-0.049780078
Acamprosate Calcium,Acamprosate Calcium,1,Zydus Pharmaceu,1592019.25,1673011,10463,4051,0.9515892304,152.15705343,392.99413725,0,2161886.42,2064910,12820,4598,1.0469639936,168.63388612,470.17973467,0,1727652.52,1638918,10153,3824,1.0541421352,170.16177681,451.79197699,0,1924716.56,1918245,11538,4330,1.0033736879,166.81544115,444.50728868,0,2379337.1,2411786,14651,5635,0.9865456968,162.40100334,422.2426087,0,-0.01677141,0.0090598405
Acamprosate Calcium,Acamprosate Calcium,1,Teva USA,105642.26,111579,757,410,0.946793393,139.55384412,257.66404878,0,71329.76,74028,481,246,0.9635510888,148.29471933,289.95837398,0,32870.94,32444,204,96,1.0131592899,161.13205882,342.405625,0,29702.64,31722,196,72,0.9363419709,151.54408163,412.53666667,0,26124.07,28643,228,56,0.9120577453,114.57925439,466.50125,0,-0.02593521,-0.009300875
Acanya,Clindamycin Phos/Benzoyl Perox,1,Overall,146741.77,13850,254,143,10.595073646,577.72350394,1026.1662238,0,60935.72,5750,107,56,10.597516522,569.49271028,1088.1378571,0,33711.89,3150,60,15,10.702187302,561.86483333,2247.4593333,0,15964.61,1450,29,,11.010075862,550.5037931,,1,9928.83,900,18,,11.032033333,551.60166667,,1,0.001994307,0.0101547176
Acanya,Clindamycin Phos/Benzoyl Perox,1,Bausch Health U,146741.77,13850,254,143,10.595073646,577.72350394,1026.1662238,0,60935.72,5750,107,56,10.597516522,569.49271028,1088.1378571,0,33711.89,3150,60,15,10.702187302,561.86483333,2247.4593333,0,15964.61,1450,29,,11.010075862,550.5037931,,1,9928.83,900,18,,11.032033333,551.60166667,,1,0.001994307,0.0101547176
Acarbose,Acarbose,4,Overall,7782118.77,22122226,157399,42897,0.3513957871,49.441983558,181.41405623,0,8782064.06,25533931,173977,44062,0.3438656995,50.478304948,199.31151695,0,10722866.7,28611239.991,185085,43961,0.3749768894,57.934822919,243.9177157,0,10728639.22,28967751.5,180238,44200,0.3708114546,59.524846148,242.72939412,0,10098039.82,28434387,174307,43168,0.3569647831,57.932497375,233.92419894,0,-0.037341542,0.0039387223
