"Table 5-6
"Federal  Government Contribution to Employer-Sponsored
   Private Health Insurance Premiums",4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,24.3,24.6,25.1,26.8,28.5,30.8,31.5,32.4,33.2,33.9,36.2,37.5,38.3,38.6,39.8,41.0,41.5,44.1
Marketplace Tax Credits and Subsidies4,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,17.6,28.3,33.4,40.4,50.7,50.1,53.2,62.8,73.2,91.9
Other Federal5,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,3.8,3.9,3.8,6.0,6.6,8.7,3.6,2.2,1.5,2.5,4.0,5.0,5.8,6.3,6.8,8.3,9.7,11.0
State and Local Government ,15.5,18.6,21.6,25.4,29.1,31.7,34.7,37.2,37.4,39.7,42.8,44.7,48.9,54.4,61.7,71.6,80.5,87.9,96.5,105.4,113.8,114.8,121.6,135.5,139.1,143.4,147.1,154.5,163.6,170.8,171.3,176.0,174.3,168.7,185.6,193.7,211.1
"State and Local Government Contribution to 
   Employer-Sponsored Private Health Insurance Premiums6",15.5,18.6,21.6,25.4,29.1,31.7,34.7,37.2,37.4,39.7,42.8,44.7,48.9,54.4,61.7,71.6,80.5,87.9,96.5,105.4,113.8,114.8,121.6,135.5,139.1,143.4,147.1,154.5,163.6,170.8,171.3,176.0,174.3,168.7,185.6,193.7,211.1
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance , ,17.7%,16.4%,14.2%,9.3%,7.8%,7.3%,4.7%,5.4%,5.8%,4.8%,6.3%,8.1%,9.8%,9.6%,11.2%,9.6%,6.3%,7.2%,5.2%,6.1%,2.8%,3.3%,3.2%,3.8%,3.2%,0.1%,4.9%,5.8%,5.3%,4.8%,4.3%,2.5%,-0.4%,7.2%,6.8%,11.5%
Private Business ,,15.1,16.6,13.9,7.1,8.3,6.2,4.3,5.9,7.8,2.2,7.5,10.0,10.6,8.4,8.5,8.9,4.9,6.9,2.4,5.8,0.6,2.4,0.1,4.2,3.6,-1.0,2.8,2.7,5.5,5.5,4.7,3.4,-2.0,8.7,6.7,13.0
"Private Business Contribution to Employer-Sponsored Private 
   Health Insurance Premiums1",,15.1,16.6,13.9,7.1,8.3,6.2,4.3,5.9,7.8,2.2,7.5,10.0,10.6,8.4,8.5,8.9,4.9,6.9,2.4,5.8,0.6,2.4,0.1,4.2,3.6,-1.0,2.8,2.7,5.5,5.5,4.7,3.4,-2.0,8.7,6.7,13.0
Households  ,,20.0,14.7,12.5,12.6,6.3,8.3,4.6,7.9,2.9,8.9,5.8,3.7,7.9,10.2,14.0,9.4,6.9,6.4,6.2,6.2,7.7,2.2,3.6,2.4,4.7,0.9,2.2,7.2,3.8,4.5,2.0,3.7,1.9,2.2,6.8,8.2
"Household Contribution to Employer-Sponsored Private Health
   Insurance Premiums2",,22.7,17.9,12.9,13.9,5.9,7.7,5.1,10.5,3.9,10.1,6.6,2.7,8.3,11.3,14.6,9.3,7.3,7.5,8.0,7.7,8.7,0.9,2.5,1.5,4.6,-0.7,-2.8,5.8,4.2,6.8,1.5,4.9,2.8,2.8,8.3,8.9
Household Contribution to Direct Purchase Insurance3,,12.9,6.1,11.3,8.8,7.7,10.1,3.2,-0.6,-0.9,4.5,2.9,7.4,6.5,5.9,11.5,9.9,5.1,1.5,-2.2,-1.8,1.9,9.5,9.4,6.8,5.3,8.4,24.9,12.4,2.8,-3.4,3.9,-0.9,-1.6,-0.4,0.6,5.1
Federal Government            ,,32.1,26.0,22.1,-0.8,9.0,7.8,3.5,-4.4,-0.3,0.5,0.2,15.7,8.2,10.2,12.1,11.6,9.4,7.3,21.5,1.5,1.3,13.3,7.0,12.7,-11.1,-1.4,51.2,23.7,13.6,12.6,14.4,0.2,5.1,12.3,11.0,18.1
"Federal  Government Contribution to Employer-Sponsored
   Private Health Insurance Premiums",,32.1,26.0,22.1,-0.8,9.0,7.8,3.5,-4.4,-0.3,0.5,0.2,15.7,8.2,10.2,12.1,11.6,9.4,7.3,5.0,1.5,2.0,6.5,6.3,8.0,2.5,2.6,2.6,2.1,6.6,3.6,2.3,0.6,3.2,3.1,1.0,6.2
Marketplace Tax Credits and Subsidies4,,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,60.5,18.2,20.9,25.4,-1.2,6.2,18.0,16.6,25.5
Other Federal5,,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,1.8,-2.9,58.2,9.9,32.9,-59.3,-37.0,-32.7,67.9,56.6,25.2,15.9,10.2,7.8,21.0,17.5,12.9
State and Local Government ,,20.3,16.2,17.3,14.8,8.7,9.7,7.0,0.8,6.1,7.8,4.3,9.4,11.4,13.4,16.0,12.4,9.2,9.8,9.2,8.0,0.9,6.0,11.4,2.7,3.1,2.6,5.0,5.9,4.4,0.3,2.7,-1.0,-3.2,10.0,4.4,9.0
"State and Local Government Contribution to 
   Employer-Sponsored Private Health Insurance Premiums6",,20.3,16.2,17.3,14.8,8.7,9.7,7.0,0.8,6.1,7.8,4.3,9.4,11.4,13.4,16.0,12.4,9.2,9.8,9.2,8.0,0.9,6.0,11.4,2.7,3.1,2.6,5.0,5.9,4.4,0.3,2.7,-1.0,-3.2,10.0,4.4,9.0
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance ,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Private Business ,56.4,55.2,55.3,55.2,54.1,54.4,53.8,53.6,53.8,54.8,53.5,54.1,55.0,55.4,54.8,53.5,53.1,52.4,52.3,50.9,50.8,49.7,49.3,47.8,48.0,48.2,47.7,46.7,45.4,45.4,45.7,45.9,46.3,45.5,46.2,46.2,46.8
"Private Business Contribution to Employer-Sponsored Private 
   Health Insurance Premiums1",56.4,55.2,55.3,55.2,54.1,54.4,53.8,53.6,53.8,54.8,53.5,54.1,55.0,55.4,54.8,53.5,53.1,52.4,52.3,50.9,50.8,49.7,49.3,47.8,48.0,48.2,47.7,46.7,45.4,45.4,45.7,45.9,46.3,45.5,46.2,46.2,46.8
Households  ,29.5,30.1,29.7,29.2,30.1,29.7,30.0,30.0,30.7,29.8,31.0,30.8,29.6,29.1,29.2,29.9,29.9,30.1,29.9,30.2,30.2,31.6,31.3,31.4,31.0,31.4,31.7,30.8,31.3,30.8,30.7,30.0,30.4,31.1,29.6,29.6,28.8
"Household Contribution to Employer-Sponsored Private Health
   Insurance Premiums2",21.2,22.1,22.4,22.1,23.1,22.7,22.8,22.8,24.0,23.5,24.7,24.8,23.5,23.2,23.6,24.3,24.2,24.5,24.5,25.2,25.6,27.1,26.5,26.3,25.7,26.1,25.9,23.9,23.9,23.7,24.1,23.5,24.0,24.8,23.8,24.1,23.6
Household Contribution to Direct Purchase Insurance3,8.3,8.0,7.3,7.1,7.1,7.1,7.2,7.1,6.7,6.3,6.3,6.1,6.0,5.8,5.6,5.7,5.7,5.6,5.3,4.9,4.6,4.5,4.8,5.1,5.3,5.4,5.8,6.9,7.3,7.2,6.6,6.6,6.4,6.3,5.8,5.5,5.2
Federal Government            ,3.4,3.8,4.1,4.4,4.0,4.0,4.0,4.0,3.6,3.4,3.3,3.1,3.3,3.2,3.3,3.3,3.3,3.4,3.4,4.0,3.8,3.8,4.1,4.3,4.6,4.0,3.9,5.7,6.6,7.2,7.7,8.4,8.2,8.7,9.1,9.5,10.0
"Federal  Government Contribution to Employer-Sponsored
   Private Health Insurance Premiums",3.4,3.8,4.1,4.4,4.0,4.0,4.0,4.0,3.6,3.4,3.3,3.1,3.3,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.6,3.6,3.7,3.6,3.5,3.5,3.5,3.4,3.3,3.5,3.3,3.2,3.0
Marketplace Tax Credits and Subsidies4,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,1.9,2.9,3.3,3.7,4.5,4.3,4.6,5.1,5.6,6.3
Other Federal5,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,—  ,0.5,0.5,0.5,0.8,0.8,1.0,0.4,0.3,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7
State and Local Government ,10.7,10.9,10.9,11.2,11.8,11.9,12.2,12.4,11.9,11.9,12.3,12.0,12.2,12.3,12.8,13.3,13.7,14.0,14.4,14.9,15.2,14.9,15.3,16.5,16.3,16.3,16.7,16.7,16.8,16.6,15.9,15.7,15.1,14.7,15.1,14.7,14.4
"State and Local Government Contribution to 
   Employer-Sponsored Private Health Insurance Premiums6",10.7,10.9,10.9,11.2,11.8,11.9,12.2,12.4,11.9,11.9,12.3,12.0,12.2,12.3,12.8,13.3,13.7,14.0,14.4,14.9,15.2,14.9,15.3,16.5,16.3,16.3,16.7,16.7,16.8,16.6,15.9,15.7,15.1,14.7,15.1,14.7,14.4
"1Excludes Medicare Retiree Drug Subsidy (RDS) payments to private employer plans beginning in 2006, small business tax credits beginning in 2010, and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Excludes government subsidy payments for COBRA coverage for 2009-2011. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Excludes Affordable Care Act (ACA) health insurance premium tax credits and cost-sharing subsidies beginning in 2014.  Includes payments for the Basic Health Program beginning in 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Affordable Care Act (ACA) health insurance premium tax credits and cost-sharing subsidies beginning in 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5Includes Medicare Retiree Drug Subsidy (RDS) payments to private business and state and local government employer plans beginning in 2006, government subsidy payments for COBRA coverage for 2009-2011, small business tax credits beginning in 2010, Early Retirement Reinsurance Program (ERRP) payments for 2010-2011, and payments for the Basic Health Program beginning in 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Excludes Medicare Retiree Drug Subsidy (RDS) payments to state and local government employer plans beginning in 2006 and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  Includes payments for the Basic Health Program beginning in 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
