"Table 7 
Hospital Care Expenditures; Levels, Percent Change, and Percent Distribution, 
2023,10.4   ,9.7   ,9.9   ,13.0   ,6.0   ,7.6   ,16.0   ,14.4   
,Percent Distribution,,,,,,,
1970,100.0%,8.9%,70.9%,31.9%,19.7%,9.7%,9.6%,20.2%
1980,100.0   ,5.3   ,79.0   ,35.9   ,26.1   ,9.2   ,7.8   ,15.7   
1990,100.0   ,4.4   ,81.9   ,37.8   ,26.9   ,10.6   ,6.5   ,13.7   
2000,100.0   ,3.2   ,85.6   ,33.3   ,29.7   ,17.1   ,5.5   ,11.2   
2001,100.0   ,3.0   ,86.3   ,33.4   ,30.1   ,17.2   ,5.6   ,10.7   
2002,100.0   ,3.1   ,86.6   ,34.1   ,29.5   ,17.4   ,5.6   ,10.3   
2003,100.0   ,3.2   ,86.2   ,34.4   ,28.7   ,17.2   ,5.9   ,10.6   
2004,100.0   ,3.2   ,86.6   ,34.7   ,28.8   ,17.1   ,5.9   ,10.2   
2005,100.0   ,3.2   ,86.8   ,34.9   ,29.0   ,17.1   ,5.8   ,10.0   
2006,100.0   ,3.2   ,86.5   ,35.6   ,28.4   ,16.7   ,5.8   ,10.3   
2007,100.0   ,3.2   ,86.3   ,35.7   ,28.0   ,17.0   ,5.6   ,10.6   
2008,100.0   ,3.2   ,87.3   ,35.7   ,28.5   ,17.0   ,6.0   ,9.5   
2009,100.0   ,3.2   ,87.0   ,35.5   ,27.9   ,17.4   ,6.2   ,9.7   
2010,100.0   ,3.3   ,86.4   ,35.2   ,27.3   ,17.6   ,6.4   ,10.3   
2011,100.0   ,3.4   ,86.5   ,35.5   ,27.3   ,17.3   ,6.4   ,10.1   
2012,100.0   ,3.5   ,86.1   ,35.6   ,27.1   ,17.2   ,6.2   ,10.4   
2013,100.0   ,3.7   ,85.5   ,34.8   ,27.2   ,17.3   ,6.3   ,10.8   
2014,100.0   ,3.4   ,86.2   ,34.5   ,26.9   ,18.3   ,6.5   ,10.4   
2015,100.0   ,3.1   ,87.2   ,35.4   ,26.5   ,18.8   ,6.5   ,9.8   
2016,100.0   ,3.0   ,87.1   ,35.9   ,26.5   ,18.4   ,6.4   ,9.8   
2017,100.0   ,3.0   ,87.0   ,36.0   ,26.6   ,17.8   ,6.5   ,10.0   
2018,100.0   ,3.0   ,87.0   ,36.1   ,27.0   ,17.6   ,6.3   ,10.0   
2019,100.0   ,3.0   ,86.6   ,36.0   ,26.9   ,17.4   ,6.2   ,10.4   
2020,100.0   ,2.5   ,81.4   ,31.9   ,25.6   ,17.5   ,6.3   ,16.1   
2021,100.0   ,2.5   ,85.6   ,34.4   ,26.4   ,18.4   ,6.4   ,11.9   
2022,100.0   ,2.5   ,87.4   ,36.0   ,26.0   ,19.1   ,6.3   ,10.1   
2023,100.0   ,2.5   ,87.0   ,36.8   ,24.9   ,18.6   ,6.7   ,10.4   
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,
